project_name,language,age,stars,contributors_count,submitter_login,merger_login,pull_request_id,files_changed_count,changed_counts,is_merged,pr_comments_count,has_test,is_following,followers_count,is_collaborator,prior_iterations_count
normalizr,JavaScript,83,20320,63,JohnGarbarino13,,480,1,50,0,1,0,0,0,0,0
normalizr,JavaScript,83,20320,63,dependabot[bot],ntucker,466,1,6,1,2,0,1,0,0,34
normalizr,JavaScript,83,20320,63,dependabot[bot],,463,1,30,0,2,0,0,0,0,33
normalizr,JavaScript,83,20320,63,collides,,461,1,4,0,2,0,0,4,0,1
normalizr,JavaScript,83,20320,63,gcangussu,,458,1,2,0,1,0,0,5,0,0
normalizr,JavaScript,83,20320,63,paularmstrong,paularmstrong,456,2,1984,1,1,0,1,649,1,381
normalizr,JavaScript,83,20320,63,paularmstrong,paularmstrong,455,34,6869,1,1,1,0,649,1,380
normalizr,JavaScript,83,20320,63,faizanu94,,453,1,12,0,2,0,0,9,0,0
normalizr,JavaScript,83,20320,63,dependabot[bot],paularmstrong,452,1,5,1,1,0,0,0,0,32
normalizr,JavaScript,83,20320,63,dependabot[bot],ntucker,451,1,6,1,1,0,0,0,0,31
normalizr,JavaScript,83,20320,63,dependabot[bot],ntucker,450,1,6,1,1,0,0,0,0,30
normalizr,JavaScript,83,20320,63,gogoout,,443,4,238,0,3,1,0,11,0,0
normalizr,JavaScript,83,20320,63,vxsx,paularmstrong,441,2,8,1,1,1,1,43,0,0
normalizr,JavaScript,83,20320,63,aimergenge,paularmstrong,439,1,31,1,3,0,1,39,0,0
normalizr,JavaScript,83,20320,63,dependabot[bot],paularmstrong,436,1,5,1,1,0,0,0,0,29
normalizr,JavaScript,83,20320,63,michael-martin,paularmstrong,435,1,2,1,1,0,1,11,0,0
normalizr,JavaScript,83,20320,63,wurstbonbon,ntucker,431,1,2,1,3,0,0,0,0,1
normalizr,JavaScript,83,20320,63,dependabot[bot],ntucker,429,1,31,1,1,0,0,0,0,18
normalizr,JavaScript,83,20320,63,TETRA2000,,428,4,2573,0,0,0,0,57,0,0
normalizr,JavaScript,83,20320,63,bjartebore,paularmstrong,422,4,105,1,4,1,1,3,0,1
normalizr,JavaScript,83,20320,63,wurstbonbon,ntucker,420,2,19,1,2,0,1,0,0,0
normalizr,JavaScript,83,20320,63,dependabot[bot],,418,1,9,0,2,0,0,0,0,17
normalizr,JavaScript,83,20320,63,OliverJAsh,ntucker,416,1,2,1,2,0,1,245,0,3
normalizr,JavaScript,83,20320,63,OliverJAsh,paularmstrong,415,6,138,1,5,1,1,245,0,2
normalizr,JavaScript,83,20320,63,dependabot[bot],ntucker,412,1,13,1,2,0,0,0,0,16
normalizr,JavaScript,83,20320,63,ntucker,ntucker,411,2,11,1,2,1,1,94,1,10
normalizr,JavaScript,83,20320,63,dependabot[bot],,410,1,36,0,2,0,0,0,0,15
normalizr,JavaScript,83,20320,63,dependabot[bot],ntucker,409,1,12,1,2,0,0,0,0,12
normalizr,JavaScript,83,20320,63,dependabot[bot],,408,1,63,0,2,0,0,0,0,12
normalizr,JavaScript,83,20320,63,dependabot[bot],,407,1,5,0,2,0,0,0,0,11
normalizr,JavaScript,83,20320,63,dependabot[bot],,405,1,6,0,2,0,0,0,0,8
normalizr,JavaScript,83,20320,63,dependabot[bot],,406,1,75,0,2,0,0,0,0,10
normalizr,JavaScript,83,20320,63,dependabot[bot],,403,1,15,0,2,0,0,0,0,7
normalizr,JavaScript,83,20320,63,dependabot[bot],,404,1,51,0,2,0,0,0,0,8
normalizr,JavaScript,83,20320,63,dependabot[bot],ntucker,402,1,12,1,2,0,0,0,0,5
normalizr,JavaScript,83,20320,63,renovate[bot],,401,1,5,0,2,0,0,0,0,0
normalizr,JavaScript,83,20320,63,dependabot[bot],,399,1,12,0,3,0,0,0,0,4
normalizr,JavaScript,83,20320,63,dependabot[bot],,398,1,12,0,3,0,0,0,0,3
